# CaseFolding-5.2.0.txt
# Date: 2009-05-28, 23:02:34 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# ================================================================================
# This file has been reformatted into syntax for the gennorm2 Normalizer2 data
# generator tool.
# C and F mappings are marked as one-way mappings with '>' while
# S and T mappings are commented out.
# ================================================================================
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to the full mapping below, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# The data supports both implementations that require simple case foldings
# (where string lengths don't change), and implementations that allow full case folding
# (where string lengths may grow). Note that where they can be supported, the
# full case foldings are superior: for example, they allow "MASSE" and "Maße" to match.
#
# All code points not listed in this file map to themselves.
#
# NOTE: case folding does not preserve normalization formats!
#
# For information on case folding, including how to have case folding 
# preserve normalization formats, see Section 3.13 Default Case Algorithms in
# The Unicode Standard, Version 5.0.
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status field is:
# C: common case folding, common mappings shared by both simple and full mappings.
# F: full case folding, mappings that cause strings to grow in length. Multiple characters are separated by spaces.
# S: simple case folding, mappings to single characters where different from F.
# T: special case for uppercase I and dotted uppercase I
#    - For non-Turkic languages, this mapping is normally not used.
#    - For Turkic languages (tr, az), this mapping can be used instead of the normal mapping for these characters.
#      Note that the Turkic mappings do not maintain canonical equivalence without additional processing.
#      See the discussions of case mapping in the Unicode Standard for more information.
#
# Usage:
#  A. To do a simple case folding, use the mappings with status C + S.
#  B. To do a full case folding, use the mappings with status C + F.
#
#    The mappings with status T can be used or omitted depending on the desired case-folding
#    behavior. (The default option is to exclude them.)
#
# =================================================================
01A9>0283; # LATIN CAPITAL LETTER ESH
01AC>01AD; # LATIN CAPITAL LETTER T WITH HOOK
01AE>0288; # LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
01AF>01B0; # LATIN CAPITAL LETTER U WITH HORN
01B1>028A; # LATIN CAPITAL LETTER UPSILON
01B2>028B; # LATIN CAPITAL LETTER V WITH HOOK
01B3>01B4; # LATIN CAPITAL LETTER Y WITH HOOK
01B5>01B6; # LATIN CAPITAL LETTER Z WITH STROKE
01B7>0292; # LATIN CAPITAL LETTER EZH
01B8>01B9; # LATIN CAPITAL LETTER EZH REVERSED
01BC>01BD; # LATIN CAPITAL LETTER TONE FIVE
01C4>01C6; # LATIN CAPITAL LETTER DZ WITH CARON
01C5>01C6; # LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
01C7>01C9; # LATIN CAPITAL LETTER LJ
01C8>01C9; # LATIN CAPITAL LETTER L WITH SMALL LETTER J
01CA>01CC; # LATIN CAPITAL LETTER NJ
01CB>01CC; # LATIN CAPITAL LETTER N WITH SMALL LETTER J
01CD>01CE; # LATIN CAPITAL LETTER A WITH CARON
01CF>01D0; # LATIN CAPITAL LETTER I WITH CARON
01D1>01D2; # LATIN CAPITAL LETTER O WITH CARON
01D3>01D4; # LATIN CAPITAL LETTER U WITH CARON
01D5>01D6; # LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D7>01D8; # LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D9>01DA; # LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DB>01DC; # LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DE>01DF; # LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01E0>01E1; # LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E2>01E3; # LATIN CAPITAL LETTER AE WITH MACRON
01E4>01E5; # LATIN CAPITAL LETTER G WITH STROKE
01E6>01E7; # LATIN CAPITAL LETTER G WITH CARON
01E8>01E9; # LATIN CAPITAL LETTER K WITH CARON
01EA>01EB; # LATIN CAPITAL LETTER O WITH OGONEK
01EC>01ED; # LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01EE>01EF; # LATIN CAPITAL LETTER EZH WITH CARON
01F0>006A 030C; # LATIN SMALL LETTER J WITH CARON
01F1>01F3; # LATIN CAPITAL LETTER DZ
01F2>01F3; # LATIN CAPITAL LETTER D WITH SMALL LETTER Z
01F4>01F5; # LATIN CAPITAL LETTER G WITH ACUTE
01F6>0195; # LATIN CAPITAL LETTER HWAIR
01F7>01BF; # LATIN CAPITAL LETTER WYNN
01F8>01F9; # LATIN CAPITAL LETTER N WITH GRAVE
01FA>01FB; # LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FC>01FD; # LATIN CAPITAL LETTER AE WITH ACUTE
01FE>01FF; # LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0200>0201; # LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0202>0203; # LATIN CAPITAL LETTER A WITH INVERTED BREVE
0204>0205; # LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0206>0207; # LATIN CAPITAL LETTER E WITH INVERTED BREVE
0208>0209; # LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
020A>020B; # LATIN CAPITAL LETTER I WITH INVERTED BREVE
020C>020D; # LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
020E>020F; # LATIN CAPITAL LETTER O WITH INVERTED BREVE
0210>0211; # LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0212>0213; # LATIN CAPITAL LETTER R WITH INVERTED BREVE
